sample_id	group	stage	path	out_h5ad	n_records	n_bad	n_bins	n_genes	total_counts	mean_counts_per_bin	median_counts_per_bin
CVB3d1	CVB3_myocarditis	day1	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000922/STTS0001494/Final.CVB3d1.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d1.bin50.tissuecut.h5ad	37135975	0	34698	27943	59703560.0	1720.662841796875	1573.0
CVB3d2	CVB3_myocarditis	day2	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000923/STTS0001495/Final.CVB3d2.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d2.bin50.tissuecut.h5ad	32767691	0	29905	24738	51393248.0	1718.55029296875	1841.0
CVB3d3	CVB3_myocarditis	day3	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000924/STTS0001496/Final.CVB3d3.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d3.bin50.tissuecut.h5ad	39489611	0	31416	26940	57497020.0	1830.1827392578125	1728.0
CVB3d4	CVB3_myocarditis	day4	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000925/STTS0001497/Final.CVB3d4.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d4.bin50.tissuecut.h5ad	51422892	0	30363	26897	75833136.0	2497.55078125	2245.0
CVB3d5	CVB3_myocarditis	day5	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000926/STTS0001498/Final.CVB3d5.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d5.bin50.tissuecut.h5ad	16981683	0	21462	25961	26446124.0	1232.230224609375	1170.0
CVB3d6	CVB3_myocarditis	day6	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000927/STTS0001499/Final.CVB3d6.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d6.bin50.tissuecut.h5ad	107038774	0	37907	28312	149965056.0	3956.130859375	3656.0
CVB3d7	CVB3_myocarditis	day7	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000928/STTS0001500/Final.CVB3d7.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/CVB3d7.bin50.tissuecut.h5ad	26011951	0	37984	27044	38000024.0	1000.421875	919.0
IVIGd1	IVIG_treated	day1	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000929/STTS0001501/Final.IVIGd1.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd1.bin50.tissuecut.h5ad	44053874	0	29068	28219	62937484.0	2165.18115234375	2150.0
IVIGd2	IVIG_treated	day2	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000930/STTS0001502/Final.IVIGd2.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd2.bin50.tissuecut.h5ad	70436072	0	37002	28614	97758848.0	2641.98828125	2546.0
IVIGd3	IVIG_treated	day3	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000931/STTS0001503/Final.IVIGd3.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd3.bin50.tissuecut.h5ad	55049251	0	31293	27064	71563328.0	2286.879638671875	2263.0
IVIGd4	IVIG_treated	day4	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000932/STTS0001504/Final.IVIGd4.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd4.bin50.tissuecut.h5ad	30785267	0	27528	26445	45679816.0	1659.3946533203125	1542.0
IVIGd5	IVIG_treated	day5	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000933/STTS0001505/Final.IVIGd5.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd5.bin50.tissuecut.h5ad	40902274	0	32603	28231	58223900.0	1785.8448486328125	1776.0
IVIGd6	IVIG_treated	day6	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000934/STTS0001506/Final.IVIGd6.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd6.bin50.tissuecut.h5ad	61283038	0	36988	27838	91785664.0	2481.49853515625	2021.0
IVIGd7	IVIG_treated	day7	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000935/STTS0001507/Final.IVIGd7.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/IVIGd7.bin50.tissuecut.h5ad	81950453	0	36463	27593	115317832.0	3162.5986328125	2836.0
Control	control	control	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000921/STTS0001493/Final.Control.TissueCut.gem.gz	/home/data1/wenhuai/data/spatial_h5ad/STT0000127/bin50_tissuecut/Control.bin50.tissuecut.h5ad	30731907	0	36392	26714	47988960.0	1318.6678466796875	1261.0
