path	filename	n_records_scanned	n_bad_lines	unique_genes_scanned	x_min	x_max	y_min	y_max	total_counts_scanned	mean_counts_per_record	header	first_data_line	sample_id	group	stage	preferred_role	size_gb
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000922/STTS0001494/Final.CVB3d1.TissueCut.gem.gz	Final.CVB3d1.TissueCut.gem.gz	2000000	0	2210	7517	20460	8757	18030	3170156.0	1.585078	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	18327	15593	1	1"	CVB3d1	CVB3_myocarditis	day1	tissuecut_gem	0.20977
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000923/STTS0001495/Final.CVB3d2.TissueCut.gem.gz	Final.CVB3d2.TissueCut.gem.gz	2000000	0	2331	8390	17194	10235	23300	2951259.0	1.4756295	geneID|x|y|MIDCount|ExonCount	"Ddx3y	14897	17959	1	1"	CVB3d2	CVB3_myocarditis	day2	tissuecut_gem	0.18287
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000924/STTS0001496/Final.CVB3d3.TissueCut.gem.gz	Final.CVB3d3.TissueCut.gem.gz	2000000	0	1581	8547	18346	7601	21797	2827335.0	1.4136675	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	11705	9654	1	1"	CVB3d3	CVB3_myocarditis	day3	tissuecut_gem	0.21945
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000925/STTS0001497/Final.CVB3d4.TissueCut.gem.gz	Final.CVB3d4.TissueCut.gem.gz	2000000	0	1176	6755	19352	5758	15502	2867388.0	1.433694	geneID|x|y|MIDCount|ExonCount	"CAAA01147332.1	9234	14191	1	1"	CVB3d4	CVB3_myocarditis	day4	tissuecut_gem	0.28626
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000926/STTS0001498/Final.CVB3d5.TissueCut.gem.gz	Final.CVB3d5.TissueCut.gem.gz	2000000	0	3461	10665	17573	8508	19066	3036702.0	1.518351	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	13632	9813	1	1"	CVB3d5	CVB3_myocarditis	day5	tissuecut_gem	0.09527
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000927/STTS0001499/Final.CVB3d6.TissueCut.gem.gz	Final.CVB3d6.TissueCut.gem.gz	2000000	0	781	8011	17584	5403	19783	2723234.0	1.361617	geneID|x|y|MIDCount|ExonCount	"AC168977.2	10721	15569	1	0"	CVB3d6	CVB3_myocarditis	day6	tissuecut_gem	0.58733
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000928/STTS0001500/Final.CVB3d7.TissueCut.gem.gz	Final.CVB3d7.TissueCut.gem.gz	2000000	0	2411	5274	20237	12523	22113	2872833.0	1.4364165	geneID|x|y|MIDCount|ExonCount	"CAAA01147332.1	11798	19090	1	0"	CVB3d7	CVB3_myocarditis	day7	tissuecut_gem	0.14816
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000921/STTS0001493/Final.Control.TissueCut.gem.gz	Final.Control.TissueCut.gem.gz	2000000	0	2211	7372	17246	5624	18905	3027757.0	1.5138785	geneID|x|y|MIDCount|ExonCount	"AC168977.1	7471	11367	1	0"	Control	control	control	tissuecut_gem	0.17324
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000929/STTS0001501/Final.IVIGd1.TissueCut.gem.gz	Final.IVIGd1.TissueCut.gem.gz	2000000	0	1755	6787	19961	9382	18188	2832426.0	1.416213	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	14865	9477	1	1"	IVIGd1	IVIG_treated	day1	tissuecut_gem	0.2452
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000930/STTS0001502/Final.IVIGd2.TissueCut.gem.gz	Final.IVIGd2.TissueCut.gem.gz	2000000	0	1218	5327	19680	6901	17223	2758872.0	1.379436	geneID|x|y|MIDCount|ExonCount	"AC168977.1	13135	11084	1	1"	IVIGd2	IVIG_treated	day2	tissuecut_gem	0.39143
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000931/STTS0001503/Final.IVIGd3.TissueCut.gem.gz	Final.IVIGd3.TissueCut.gem.gz	2000000	0	1520	10259	23807	3619	14925	2565078.0	1.282539	geneID|x|y|MIDCount|ExonCount	"AC132444.5	17094	7592	1	0"	IVIGd3	IVIG_treated	day3	tissuecut_gem	0.3027
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000932/STTS0001504/Final.IVIGd4.TissueCut.gem.gz	Final.IVIGd4.TissueCut.gem.gz	2000000	0	1877	11559	20026	3761	15868	2930500.0	1.46525	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	19284	11354	1	1"	IVIGd4	IVIG_treated	day4	tissuecut_gem	0.17095
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000933/STTS0001505/Final.IVIGd5.TissueCut.gem.gz	Final.IVIGd5.TissueCut.gem.gz	2000000	0	1897	9331	18751	12368	24406	2838385.0	1.4191925	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	17151	20283	1	1"	IVIGd5	IVIG_treated	day5	tissuecut_gem	0.22852
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000934/STTS0001506/Final.IVIGd6.TissueCut.gem.gz	Final.IVIGd6.TissueCut.gem.gz	2000000	0	1100	4536	14234	2931	17638	3015491.0	1.5077455	geneID|x|y|MIDCount|ExonCount	"CAAA01118383.1	12711	8587	1	1"	IVIGd6	IVIG_treated	day6	tissuecut_gem	0.3406
/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000935/STTS0001507/Final.IVIGd7.TissueCut.gem.gz	Final.IVIGd7.TissueCut.gem.gz	2000000	0	918	380	15100	11153	20742	2823851.0	1.4119255	geneID|x|y|MIDCount|ExonCount	"CAAA01147332.1	7657	16047	1	1"	IVIGd7	IVIG_treated	day7	tissuecut_gem	0.45194
